,CPI,BPP,NASDAQ
12/4/08,97.07973,96.53612,1445.56
12/5/08,97.07973,96.4952,1509.31
12/6/08,97.07973,96.45647,#N/A
12/7/08,97.07973,96.39191,#N/A
12/8/08,97.07973,96.3418,1571.74
12/9/08,97.07973,96.28445,1547.34
12/10/08,97.07973,96.26595,1565.48
12/11/08,97.07973,96.23098,1507.88
12/12/08,97.07973,96.15257,1540.72
12/13/08,97.07973,96.12331,#N/A
12/14/08,97.07973,96.12685,#N/A
12/15/08,97.07973,96.12693,1508.34
12/16/08,97.07973,96.11549,1589.89
12/17/08,97.07973,96.14208,1579.31
12/18/08,97.07973,96.14037,1552.37
12/19/08,97.07973,96.1485,1564.32
12/20/08,97.07973,96.12931,#N/A
12/21/08,97.07973,96.12525,#N/A
12/22/08,97.07973,96.11627,1532.35
12/23/08,97.07973,96.09691,1521.54
12/24/08,97.07973,96.10168,1524.9
12/25/08,97.07973,96.09464,#N/A
12/26/08,97.07973,96.09346,1530.24
12/27/08,97.07973,96.0754,#N/A
12/28/08,97.07973,96.03773,#N/A
12/29/08,97.07973,96.04199,1510.32
12/30/08,97.07973,96.02001,1550.7
12/31/08,97.07973,96.03443,1577.03
1/1/09,96.07569,96.03828,#N/A
1/2/09,96.07569,96.03957,1632.21
1/3/09,96.07569,96.03524,#N/A
1/4/09,96.07569,96.07742,#N/A
1/5/09,96.07569,96.12257,1628.03
1/6/09,96.07569,96.15632,1652.38
1/7/09,96.07569,96.21664,1599.06
1/8/09,96.07569,96.31301,1617.01
1/9/09,96.07569,96.4149,1571.59
1/10/09,96.07569,96.46743,#N/A
1/11/09,96.07569,96.48782,#N/A
1/12/09,96.07569,96.49789,1538.79
1/13/09,96.07569,96.49083,1546.46
1/14/09,96.07569,96.52679,1489.64
1/15/09,96.07569,96.54081,1511.84
1/16/09,96.07569,96.567,1529.33
1/17/09,96.07569,96.59364,#N/A
1/18/09,96.07569,96.64108,#N/A
1/19/09,96.07569,96.64434,#N/A
1/20/09,96.07569,96.64857,1440.86
1/21/09,96.07569,96.70225,1507.07
1/22/09,96.07569,96.72525,1465.49
1/23/09,96.07569,96.73504,1477.29
1/24/09,96.07569,96.7368,#N/A
1/25/09,96.07569,96.74407,#N/A
1/26/09,96.07569,96.74186,1489.46
1/27/09,96.07569,96.71595,1504.9
1/28/09,96.07569,96.70609,1558.34
1/29/09,96.07569,96.72359,1507.84
1/30/09,96.07569,96.72789,1476.42
1/31/09,96.07569,96.74158,#N/A
2/1/09,96.49385,96.78483,#N/A
2/2/09,96.49385,96.80257,1494.43
2/3/09,96.49385,96.82672,1516.3
2/4/09,96.49385,96.98864,1515.05
2/5/09,96.49385,97.03506,1546.24
